matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  umem prodcons 1024:4096 t=1 rep=2  15:04:34
  umem@null prodcons 1024:4096 t=1 rep=2  15:04:53
  umem-preload prodcons 1024:4096 t=1 rep=2  15:05:11
  umem-preload@null prodcons 1024:4096 t=1 rep=2  15:05:37
  jemalloc prodcons 1024:4096 t=1 rep=2  15:06:04
  tcmalloc prodcons 1024:4096 t=1 rep=2  15:06:24
  mimalloc prodcons 1024:4096 t=1 rep=2  15:06:43
  snmalloc prodcons 1024:4096 t=1 rep=2  15:07:02
  scudo prodcons 1024:4096 t=1 rep=2  15:07:24
  rpmalloc prodcons 1024:4096 t=1 rep=2  15:07:48
  libc prodcons 1024:4096 t=2 rep=1  15:08:35
  umem prodcons 1024:4096 t=2 rep=1  15:09:16
  umem@null prodcons 1024:4096 t=2 rep=1  15:09:27
  umem-preload prodcons 1024:4096 t=2 rep=1  15:09:39
  umem-preload@null prodcons 1024:4096 t=2 rep=1  15:10:00
  jemalloc prodcons 1024:4096 t=2 rep=1  15:10:22
  tcmalloc prodcons 1024:4096 t=2 rep=1  15:10:37
  mimalloc prodcons 1024:4096 t=2 rep=1  15:10:50
  snmalloc prodcons 1024:4096 t=2 rep=1  15:11:02
  scudo prodcons 1024:4096 t=2 rep=1  15:11:14
  rpmalloc prodcons 1024:4096 t=2 rep=1  15:11:28
  libc prodcons 1024:4096 t=2 rep=2  15:11:39
  umem prodcons 1024:4096 t=2 rep=2  15:12:09
  umem@null prodcons 1024:4096 t=2 rep=2  15:12:20
  umem-preload prodcons 1024:4096 t=2 rep=2  15:12:31
  umem-preload@null prodcons 1024:4096 t=2 rep=2  15:12:51
  jemalloc prodcons 1024:4096 t=2 rep=2  15:13:12
  tcmalloc prodcons 1024:4096 t=2 rep=2  15:13:28
  mimalloc prodcons 1024:4096 t=2 rep=2  15:13:40
  snmalloc prodcons 1024:4096 t=2 rep=2  15:13:53
  scudo prodcons 1024:4096 t=2 rep=2  15:14:04
  rpmalloc prodcons 1024:4096 t=2 rep=2  15:14:18
  libc prodcons 1024:4096 t=4 rep=1  15:14:28
  umem prodcons 1024:4096 t=4 rep=1  15:14:58
  umem@null prodcons 1024:4096 t=4 rep=1  15:15:08
  umem-preload prodcons 1024:4096 t=4 rep=1  15:15:17
  umem-preload@null prodcons 1024:4096 t=4 rep=1  15:15:36
  jemalloc prodcons 1024:4096 t=4 rep=1  15:15:55
  tcmalloc prodcons 1024:4096 t=4 rep=1  15:16:06
  mimalloc prodcons 1024:4096 t=4 rep=1  15:16:17
  snmalloc prodcons 1024:4096 t=4 rep=1  15:16:27
  scudo prodcons 1024:4096 t=4 rep=1  15:16:35
  rpmalloc prodcons 1024:4096 t=4 rep=1  15:16:53
  libc prodcons 1024:4096 t=4 rep=2  15:17:00
  umem prodcons 1024:4096 t=4 rep=2  15:17:30
  umem@null prodcons 1024:4096 t=4 rep=2  15:17:40
  umem-preload prodcons 1024:4096 t=4 rep=2  15:17:49
  umem-preload@null prodcons 1024:4096 t=4 rep=2  15:18:07
  jemalloc prodcons 1024:4096 t=4 rep=2  15:18:25
  tcmalloc prodcons 1024:4096 t=4 rep=2  15:18:37
  mimalloc prodcons 1024:4096 t=4 rep=2  15:18:48
  snmalloc prodcons 1024:4096 t=4 rep=2  15:18:57
  scudo prodcons 1024:4096 t=4 rep=2  15:19:05
  rpmalloc prodcons 1024:4096 t=4 rep=2  15:19:22
  libc prodcons 1024:4096 t=8 rep=1  15:19:30
  umem prodcons 1024:4096 t=8 rep=1  15:19:46
  umem@null prodcons 1024:4096 t=8 rep=1  15:19:53
  umem-preload prodcons 1024:4096 t=8 rep=1  15:20:01
  umem-preload@null prodcons 1024:4096 t=8 rep=1  15:20:30
  jemalloc prodcons 1024:4096 t=8 rep=1  15:21:00
  tcmalloc prodcons 1024:4096 t=8 rep=1  15:21:08
  mimalloc prodcons 1024:4096 t=8 rep=1  15:21:16
