matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag/matrix.toml
  libc frag 64:256 t=32 rep=2  15:11:50
  umem frag 64:256 t=32 rep=2  15:11:57
  umem@null frag 64:256 t=32 rep=2  15:12:08
  umem-preload frag 64:256 t=32 rep=2  15:12:17
  umem-preload@null frag 64:256 t=32 rep=2  15:12:28
  jemalloc frag 64:256 t=32 rep=2  15:12:37
  tcmalloc frag 64:256 t=32 rep=2  15:12:43
  mimalloc frag 64:256 t=32 rep=2  15:12:51
  snmalloc frag 64:256 t=32 rep=2  15:12:57
  scudo frag 64:256 t=32 rep=2  15:13:03
  rpmalloc frag 64:256 t=32 rep=2  15:13:09
  libc frag 64:256 t=64 rep=1  15:13:15
  umem frag 64:256 t=64 rep=1  15:13:21
  umem@null frag 64:256 t=64 rep=1  15:13:30
  umem-preload frag 64:256 t=64 rep=1  15:13:38
  umem-preload@null frag 64:256 t=64 rep=1  15:13:46
  jemalloc frag 64:256 t=64 rep=1  15:13:54
  tcmalloc frag 64:256 t=64 rep=1  15:14:01
  mimalloc frag 64:256 t=64 rep=1  15:14:08
  snmalloc frag 64:256 t=64 rep=1  15:14:14
  scudo frag 64:256 t=64 rep=1  15:14:21
  rpmalloc frag 64:256 t=64 rep=1  15:14:27
  libc frag 64:256 t=64 rep=2  15:14:34
  umem frag 64:256 t=64 rep=2  15:14:40
  umem@null frag 64:256 t=64 rep=2  15:14:48
  umem-preload frag 64:256 t=64 rep=2  15:14:57
  umem-preload@null frag 64:256 t=64 rep=2  15:15:05
  jemalloc frag 64:256 t=64 rep=2  15:15:13
  tcmalloc frag 64:256 t=64 rep=2  15:15:20
  mimalloc frag 64:256 t=64 rep=2  15:15:26
  snmalloc frag 64:256 t=64 rep=2  15:15:33
  scudo frag 64:256 t=64 rep=2  15:15:39
  rpmalloc frag 64:256 t=64 rep=2  15:15:46
  libc frag 64:256 t=128 rep=1  15:15:53
  umem frag 64:256 t=128 rep=1  15:16:00
  umem@null frag 64:256 t=128 rep=1  15:16:10
  umem-preload frag 64:256 t=128 rep=1  15:16:19
  umem-preload@null frag 64:256 t=128 rep=1  15:16:29
  jemalloc frag 64:256 t=128 rep=1  15:16:38
  tcmalloc frag 64:256 t=128 rep=1  15:16:45
  mimalloc frag 64:256 t=128 rep=1  15:16:52
  snmalloc frag 64:256 t=128 rep=1  15:16:59
  scudo frag 64:256 t=128 rep=1  15:17:06
  rpmalloc frag 64:256 t=128 rep=1  15:17:13
  libc frag 64:256 t=128 rep=2  15:17:20
  umem frag 64:256 t=128 rep=2  15:17:27
  umem@null frag 64:256 t=128 rep=2  15:17:36
  umem-preload frag 64:256 t=128 rep=2  15:17:46
  umem-preload@null frag 64:256 t=128 rep=2  15:17:55
  jemalloc frag 64:256 t=128 rep=2  15:18:04
  tcmalloc frag 64:256 t=128 rep=2  15:18:11
  mimalloc frag 64:256 t=128 rep=2  15:18:18
  snmalloc frag 64:256 t=128 rep=2  15:18:25
  scudo frag 64:256 t=128 rep=2  15:18:31
  rpmalloc frag 64:256 t=128 rep=2  15:18:38
  libc frag 64:256 t=192 rep=1  15:18:45
  umem frag 64:256 t=192 rep=1  15:18:53
  umem@null frag 64:256 t=192 rep=1  15:19:02
  umem-preload frag 64:256 t=192 rep=1  15:19:11
  umem-preload@null frag 64:256 t=192 rep=1  15:19:20
  jemalloc frag 64:256 t=192 rep=1  15:19:29
  tcmalloc frag 64:256 t=192 rep=1  15:19:36
  mimalloc frag 64:256 t=192 rep=1  15:19:43
  snmalloc frag 64:256 t=192 rep=1  15:19:50
  scudo frag 64:256 t=192 rep=1  15:19:56
  rpmalloc frag 64:256 t=192 rep=1  15:20:04
  libc frag 64:256 t=192 rep=2  15:20:11
  umem frag 64:256 t=192 rep=2  15:20:19
  umem@null frag 64:256 t=192 rep=2  15:20:28
  umem-preload frag 64:256 t=192 rep=2  15:20:37
  umem-preload@null frag 64:256 t=192 rep=2  15:20:46
  jemalloc frag 64:256 t=192 rep=2  15:20:55
  tcmalloc frag 64:256 t=192 rep=2  15:21:02
  mimalloc frag 64:256 t=192 rep=2  15:21:09
  snmalloc frag 64:256 t=192 rep=2  15:21:16
  scudo frag 64:256 t=192 rep=2  15:21:22
  rpmalloc frag 64:256 t=192 rep=2  15:21:30
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag/matrix.toml
