arm,label,replicate,allocator,workload,threads,total_ops,ops_per_thread,elapsed_sec,ops_per_sec,lat_min,lat_p50,lat_p90,lat_p99,lat_p999,lat_max,lat_mean,rss_at_live_peak,vmhwm_bytes,allocated_bytes,live_bytes_at_peak,live_bytes_median,frag,frag_median,frag_samples,cpu_user_ms,cpu_sys_ms,ops_cov,runs,unstable,ops_floor_raised,alloc_failures
pre,preload-multi-192-16:64,1,umem-preload,multi-thread,192,19999872,104166,24.535299,815146.88,18,35,48,62,120,10049805,54,12611584,12611584,790070049,0,0,,,0,38845.4,4612286.0,0.0009,3,0,0,0
post,preload-multi-192-16:64,1,umem-preload,multi-thread,192,19999872,104166,0.063015,317384808.61,16,30,40,160,491,33061137,75,12615680,12615680,790070049,0,0,,,0,5093.7,9.6,0.0684,3,0,0,0
pre,preload-multi-192-16:64,2,umem-preload,multi-thread,192,19999872,104166,25.182722,794190.24,18,35,47,62,161,8166547,46,12603392,12603392,790070049,0,0,,,0,39035.4,4736436.6,0.0005,3,0,0,0
post,preload-multi-192-16:64,2,umem-preload,multi-thread,192,19999872,104166,0.064808,308604277.15,18,32,40,120,323,42797196,100,12619776,12619776,790070049,0,0,,,0,4759.0,0.0,0.1358,3,1,0,0
pre,preload-multi-192-16:64,3,umem-preload,multi-thread,192,19999872,104166,25.322033,789820.93,19,35,46,62,154,3950079,39,12599296,12599296,790070049,0,0,,,0,41132.9,4761508.5,0.0003,3,0,0,0
post,preload-multi-192-16:64,3,umem-preload,multi-thread,192,19999872,104166,0.063663,314152577.82,17,29,39,120,459,33838091,105,12611584,12611584,790070049,0,0,,,0,5045.3,34.6,0.0169,3,0,0,0
pre,preload-multi-8-64:256,1,umem-preload,multi-thread,8,20000000,2500000,10.166063,1967329.90,14,24,35,187,359,367172,30,9482240,9482240,3190170068,0,0,,,0,15125.4,55460.6,0.0010,3,0,0,0
post,preload-multi-8-64:256,1,umem-preload,multi-thread,8,20000000,2500000,0.606698,32965348.94,17,21,24,25,27,10004539,23,9486336,9486336,3190170068,0,0,,,0,3778.3,0.0,0.0601,3,0,0,0
pre,preload-multi-8-64:256,2,umem-preload,multi-thread,8,20000000,2500000,10.601158,1886586.36,15,24,69,278,523,106887,38,9490432,9490432,3190170068,0,0,,,0,14682.0,61326.4,0.0012,3,0,0,0
post,preload-multi-8-64:256,2,umem-preload,multi-thread,8,20000000,2500000,0.579171,34532122.23,17,21,24,25,26,290754,22,9486336,9486336,3190170068,0,0,,,0,3774.3,0.0,0.0256,3,0,0,0
pre,preload-multi-8-64:256,3,umem-preload,multi-thread,8,20000000,2500000,9.727578,2056010.32,15,24,102,347,590,65981,45,9490432,9490432,3190170068,0,0,,,0,13412.4,56399.1,0.0033,3,0,0,0
