matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
  umem@null frag 64:256 t=32 rep=1  16:00:50
  umem-preload frag 64:256 t=32 rep=1  16:01:02
  umem-preload@null frag 64:256 t=32 rep=1  16:01:14
  jemalloc frag 64:256 t=32 rep=1  16:01:27
  tcmalloc frag 64:256 t=32 rep=1  16:01:35
  mimalloc frag 64:256 t=32 rep=1  16:01:44
  snmalloc frag 64:256 t=32 rep=1  16:01:52
  scudo frag 64:256 t=32 rep=1  16:02:01
  rpmalloc frag 64:256 t=32 rep=1  16:02:10
  libc frag 64:256 t=32 rep=2  16:02:19
  umem frag 64:256 t=32 rep=2  16:02:29
  umem@null frag 64:256 t=32 rep=2  16:02:42
  umem-preload frag 64:256 t=32 rep=2  16:02:55
  umem-preload@null frag 64:256 t=32 rep=2  16:03:08
  jemalloc frag 64:256 t=32 rep=2  16:03:21
  tcmalloc frag 64:256 t=32 rep=2  16:03:29
  mimalloc frag 64:256 t=32 rep=2  16:03:39
  snmalloc frag 64:256 t=32 rep=2  16:03:47
  scudo frag 64:256 t=32 rep=2  16:03:56
  rpmalloc frag 64:256 t=32 rep=2  16:04:06
  libc frag 64:256 t=64 rep=1  16:04:14
  umem frag 64:256 t=64 rep=1  16:04:24
  umem@null frag 64:256 t=64 rep=1  16:04:39
  umem-preload frag 64:256 t=64 rep=1  16:04:55
  umem-preload@null frag 64:256 t=64 rep=1  16:05:12
  jemalloc frag 64:256 t=64 rep=1  16:05:27
  tcmalloc frag 64:256 t=64 rep=1  16:05:37
  mimalloc frag 64:256 t=64 rep=1  16:05:48
  snmalloc frag 64:256 t=64 rep=1  16:05:59
  scudo frag 64:256 t=64 rep=1  16:06:09
  rpmalloc frag 64:256 t=64 rep=1  16:06:19
  libc frag 64:256 t=64 rep=2  16:06:30
  umem frag 64:256 t=64 rep=2  16:06:39
  umem@null frag 64:256 t=64 rep=2  16:06:55
  umem-preload frag 64:256 t=64 rep=2  16:07:10
  umem-preload@null frag 64:256 t=64 rep=2  16:07:25
  jemalloc frag 64:256 t=64 rep=2  16:07:41
  tcmalloc frag 64:256 t=64 rep=2  16:07:51
  mimalloc frag 64:256 t=64 rep=2  16:08:02
  snmalloc frag 64:256 t=64 rep=2  16:08:12
  scudo frag 64:256 t=64 rep=2  16:08:21
  rpmalloc frag 64:256 t=64 rep=2  16:08:31
  libc frag 64:256 t=128 rep=1  16:08:41
  umem frag 64:256 t=128 rep=1  16:08:51
  umem@null frag 64:256 t=128 rep=1  16:09:05
  umem-preload frag 64:256 t=128 rep=1  16:09:19
  umem-preload@null frag 64:256 t=128 rep=1  16:09:34
  jemalloc frag 64:256 t=128 rep=1  16:09:48
  tcmalloc frag 64:256 t=128 rep=1  16:09:58
  mimalloc frag 64:256 t=128 rep=1  16:10:07
  snmalloc frag 64:256 t=128 rep=1  16:10:17
  scudo frag 64:256 t=128 rep=1  16:10:26
  rpmalloc frag 64:256 t=128 rep=1  16:10:36
  libc frag 64:256 t=128 rep=2  16:10:46
  umem frag 64:256 t=128 rep=2  16:10:56
  umem@null frag 64:256 t=128 rep=2  16:11:10
  umem-preload frag 64:256 t=128 rep=2  16:11:24
  umem-preload@null frag 64:256 t=128 rep=2  16:11:39
  jemalloc frag 64:256 t=128 rep=2  16:11:52
  tcmalloc frag 64:256 t=128 rep=2  16:12:02
  mimalloc frag 64:256 t=128 rep=2  16:12:12
  snmalloc frag 64:256 t=128 rep=2  16:12:22
  scudo frag 64:256 t=128 rep=2  16:12:31
  rpmalloc frag 64:256 t=128 rep=2  16:12:42
  libc frag 64:256 t=192 rep=1  16:12:52
  umem frag 64:256 t=192 rep=1  16:13:02
  umem@null frag 64:256 t=192 rep=1  16:13:15
  umem-preload frag 64:256 t=192 rep=1  16:13:29
  umem-preload@null frag 64:256 t=192 rep=1  16:13:43
  jemalloc frag 64:256 t=192 rep=1  16:13:58
  tcmalloc frag 64:256 t=192 rep=1  16:14:07
  mimalloc frag 64:256 t=192 rep=1  16:14:18
  snmalloc frag 64:256 t=192 rep=1  16:14:27
