matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  umem prodcons 256:1024 t=8 rep=1  13:23:42
  umem@null prodcons 256:1024 t=8 rep=1  13:23:49
  umem-preload prodcons 256:1024 t=8 rep=1  13:23:57
  umem-preload@null prodcons 256:1024 t=8 rep=1  13:24:04
  jemalloc prodcons 256:1024 t=8 rep=1  13:24:12
  tcmalloc prodcons 256:1024 t=8 rep=1  13:24:20
  mimalloc prodcons 256:1024 t=8 rep=1  13:24:28
  snmalloc prodcons 256:1024 t=8 rep=1  13:24:34
  scudo prodcons 256:1024 t=8 rep=1  13:24:41
  rpmalloc prodcons 256:1024 t=8 rep=1  13:25:01
  libc prodcons 256:1024 t=8 rep=2  13:25:07
  umem prodcons 256:1024 t=8 rep=2  13:25:22
  umem@null prodcons 256:1024 t=8 rep=2  13:25:29
  umem-preload prodcons 256:1024 t=8 rep=2  13:25:37
  umem-preload@null prodcons 256:1024 t=8 rep=2  13:25:44
  jemalloc prodcons 256:1024 t=8 rep=2  13:25:51
  tcmalloc prodcons 256:1024 t=8 rep=2  13:25:59
  mimalloc prodcons 256:1024 t=8 rep=2  13:26:06
  snmalloc prodcons 256:1024 t=8 rep=2  13:26:14
  scudo prodcons 256:1024 t=8 rep=2  13:26:21
  rpmalloc prodcons 256:1024 t=8 rep=2  13:26:38
  libc prodcons 256:1024 t=32 rep=1  13:26:45
  umem prodcons 256:1024 t=32 rep=1  13:27:01
  umem@null prodcons 256:1024 t=32 rep=1  13:27:19
  umem-preload prodcons 256:1024 t=32 rep=1  13:27:34
  umem-preload@null prodcons 256:1024 t=32 rep=1  13:27:49
  jemalloc prodcons 256:1024 t=32 rep=1  13:28:04
  tcmalloc prodcons 256:1024 t=32 rep=1  13:28:19
  mimalloc prodcons 256:1024 t=32 rep=1  13:28:32
  snmalloc prodcons 256:1024 t=32 rep=1  13:28:49
  scudo prodcons 256:1024 t=32 rep=1  13:29:05
  rpmalloc prodcons 256:1024 t=32 rep=1  13:29:26
  libc prodcons 256:1024 t=32 rep=2  13:29:41
  umem prodcons 256:1024 t=32 rep=2  13:29:57
  umem@null prodcons 256:1024 t=32 rep=2  13:30:13
  umem-preload prodcons 256:1024 t=32 rep=2  13:30:29
  umem-preload@null prodcons 256:1024 t=32 rep=2  13:30:42
  jemalloc prodcons 256:1024 t=32 rep=2  13:30:56
  tcmalloc prodcons 256:1024 t=32 rep=2  13:31:11
  mimalloc prodcons 256:1024 t=32 rep=2  13:31:23
  snmalloc prodcons 256:1024 t=32 rep=2  13:31:39
  scudo prodcons 256:1024 t=32 rep=2  13:31:53
  rpmalloc prodcons 256:1024 t=32 rep=2  13:32:12
  libc prodcons 256:1024 t=64 rep=1  13:32:27
  umem prodcons 256:1024 t=64 rep=1  13:32:49
  umem@null prodcons 256:1024 t=64 rep=1  13:33:10
  umem-preload prodcons 256:1024 t=64 rep=1  13:33:32
  umem-preload@null prodcons 256:1024 t=64 rep=1  13:33:52
  jemalloc prodcons 256:1024 t=64 rep=1  13:34:13
  tcmalloc prodcons 256:1024 t=64 rep=1  13:34:30
  mimalloc prodcons 256:1024 t=64 rep=1  13:34:50
  snmalloc prodcons 256:1024 t=64 rep=1  13:35:07
  scudo prodcons 256:1024 t=64 rep=1  13:35:24
  rpmalloc prodcons 256:1024 t=64 rep=1  13:36:01
  libc prodcons 256:1024 t=64 rep=2  13:36:19
  umem prodcons 256:1024 t=64 rep=2  13:36:42
  umem@null prodcons 256:1024 t=64 rep=2  13:37:03
  umem-preload prodcons 256:1024 t=64 rep=2  13:37:24
  umem-preload@null prodcons 256:1024 t=64 rep=2  13:37:44
  jemalloc prodcons 256:1024 t=64 rep=2  13:38:05
  tcmalloc prodcons 256:1024 t=64 rep=2  13:38:27
  mimalloc prodcons 256:1024 t=64 rep=2  13:38:45
  snmalloc prodcons 256:1024 t=64 rep=2  13:39:04
  scudo prodcons 256:1024 t=64 rep=2  13:39:23
  rpmalloc prodcons 256:1024 t=64 rep=2  13:39:56
  libc prodcons 256:1024 t=128 rep=1  13:40:14
  umem prodcons 256:1024 t=128 rep=1  13:40:49
  umem@null prodcons 256:1024 t=128 rep=1  13:41:20
  umem-preload prodcons 256:1024 t=128 rep=1  13:41:48
  umem-preload@null prodcons 256:1024 t=128 rep=1  13:42:17
  jemalloc prodcons 256:1024 t=128 rep=1  13:42:47
  tcmalloc prodcons 256:1024 t=128 rep=1  13:43:20
  mimalloc prodcons 256:1024 t=128 rep=1  13:43:56
  snmalloc prodcons 256:1024 t=128 rep=1  13:44:20
  scudo prodcons 256:1024 t=128 rep=1  13:44:48
  rpmalloc prodcons 256:1024 t=128 rep=1  13:45:39
  libc prodcons 256:1024 t=128 rep=2  13:46:07
  umem prodcons 256:1024 t=128 rep=2  13:46:40
  umem@null prodcons 256:1024 t=128 rep=2  13:47:13
  umem-preload prodcons 256:1024 t=128 rep=2  13:47:46
  umem-preload@null prodcons 256:1024 t=128 rep=2  13:48:16
  jemalloc prodcons 256:1024 t=128 rep=2  13:48:46
  tcmalloc prodcons 256:1024 t=128 rep=2  13:49:17
  mimalloc prodcons 256:1024 t=128 rep=2  13:49:52
  snmalloc prodcons 256:1024 t=128 rep=2  13:50:17
  scudo prodcons 256:1024 t=128 rep=2  13:50:48
  rpmalloc prodcons 256:1024 t=128 rep=2  13:51:34
  libc prodcons 256:1024 t=192 rep=1  13:52:03
  umem prodcons 256:1024 t=192 rep=1  13:52:54
  umem@null prodcons 256:1024 t=192 rep=1  13:53:41
  umem-preload prodcons 256:1024 t=192 rep=1  13:54:27
  umem-preload@null prodcons 256:1024 t=192 rep=1  13:55:18
  jemalloc prodcons 256:1024 t=192 rep=1  13:56:06
  tcmalloc prodcons 256:1024 t=192 rep=1  13:56:48
  mimalloc prodcons 256:1024 t=192 rep=1  13:57:40
  snmalloc prodcons 256:1024 t=192 rep=1  13:58:23
  scudo prodcons 256:1024 t=192 rep=1  13:59:03
  rpmalloc prodcons 256:1024 t=192 rep=1  13:59:57
  libc prodcons 256:1024 t=192 rep=2  14:00:36
  umem prodcons 256:1024 t=192 rep=2  14:01:27
  umem@null prodcons 256:1024 t=192 rep=2  14:02:14
  umem-preload prodcons 256:1024 t=192 rep=2  14:03:00
  umem-preload@null prodcons 256:1024 t=192 rep=2  14:03:46
  jemalloc prodcons 256:1024 t=192 rep=2  14:04:39
